손님	Customer
원하다	To want
통신	communications, correspondance
확인하다	To confirm, corroborate
모임	A group, a party
수	number
웃음	Laughter, a smile
기계	An instrument / a machine
물질	matter, material
아나운서	Announcer
뉴스	News
살아가다	Lead a life, get along
펴다	Spread out, unfold
배	double, twice, twofold; times, -fold
수업	school, teaching
겨울	Winter
종교	religion, a faith
층	floor, grade, class
자연스럽다	To be natural
장	One piece of sth flat (paper); sheets
돌다	to revolve, rotate, spin, turn
식사	A meal
안다	To hold, embrace
이해	Understanding
잊다	To forget
제시하다	To present
반	party; group; class at school
불과하다	Nothing more than
혹은	If that's not the case
엄청나다	To be absurd, wild, terribly large
편	Direction, way (the wind is blowing that ~)
텔레비전	Television
파악하다	Grasp, seize, understand
편	volume (of set of books)
실천	Practice
노력하다	To try hard, strive
보호	protection, shelter
씻다	To wash, cleanse
한편	One side, one way
늦다	To be late (time)
이웃	The neighborhood
편지	Letter
공동	Association / union / collaboration
까닭	Reason
방안	A plan, scheme
센티미터	Centimeter
팔	An arm
분명하다	To be clear/obvious
분석	Analysis
소녀	A young girl
지나가다	To pass, elapse
차	second; next, subsequent
상품	Product
설명	Explanation
훌륭하다	To be excellent
관계자	The interested / affected parties
새로	newly, anew
세	years, years old
이어지다	Get joined, be connected
티브이	TV
봄	Spring
종류	kind, sort, species
낮다	Be low
어깨	Shoulder
지적하다	To indicate, point out
부부	Man and wife
오래	Long, for a long time
요구	A demand, claim, request
키우다	To raise, bring up, rear
눕다	Lie down
발달하다	To advance
발전하다	To develop, grow
여행	Trip
죽음	Death
고통	Suffering / agony
등장하다	to enter the stage; to come into play
공	Ball
듯이	nearly, as if
어울리다	To be becoming, suiting
오월	May
쉬다	to relax, take a break
알리다	To inform, tell a person
차다	To be full, to be filled with (PASSIVE)
과	A lesson / a section / a department
멀리	Far away
빼다	Pull out, extract
예정	A program, schedule
오빠	Older brother (female speaker)
즐겁다	Be pleasant, agreeable
한계	Boundary, limits
흔히	Generally, commonly; often
바탕	Natural disposition; to go all out in a fight; the background
사월	April
싸우다	To fight
예쁘다	Pretty, lovely
갈등	Conflict / troubles
느껴지다	Feel
의지	will, volition
전문	A specialty
정확하다	To be exact
초기	The early days, the initial period
나중	The last, the latter part
등	back, spine
맛있다	Delicious
며칠	How many days
신경	nerves (medicine); feelings
찾아오다	To go meet somebody, to go get sth
미	beauty, grace
사용	use, emply
시선	one's line of vision
아무런	No sort of
언론	A speech, discussion
투자	Investment
지원	helping, supporting, aiding
결정하다	To decide
경영	Management / administration
목표	goal, object
성장	Growth
숲	Forest
